"Year","Costs of Unskilled Labor (index <BR> 1860 = 100)","Production Workers Hourly Compensation (nominal dollars)"
"1774","33.00"
"1775","35.00"
"1776","32.00"
"1777","35.00"
"1778","36.00"
"1779","31.00"
"1780","41.00"
"1781","43.00"
"1782","39.00"
"1783","36.00"
"1784","34.00"
"1785","44.00"
"1786","40.00"
"1787","48.00"
"1788","48.00"
"1789","42.00"
"1790","37.00","0.02"
"1791","43.00","0.02"
"1792","43.00","0.02"
"1793","48.00","0.03"
"1794","45.00","0.03"
"1795","63.00","0.03"
"1796","62.00","0.04"
"1797","61.00","0.03"
"1798","69.00","0.04"
"1799","52.00","0.04"
"1800","60.00","0.04"
"1801","71.00","0.04"
"1802","75.00","0.04"
"1803","57.00","0.04"
"1804","72.00","0.05"
"1805","62.00","0.05"
"1806","86.00","0.05"
"1807","69.00","0.05"
"1808","68.00","0.05"
"1809","104.00","0.05"
"1810","88.00","0.05"
"1811","91.00","0.05"
"1812","92.00","0.05"
"1813","87.00","0.05"
"1814","97.00","0.05"
"1815","92.00","0.05"
"1816","111.00","0.05"
"1817","93.00","0.05"
"1818","72.00","0.05"
"1819","75.00","0.05"
"1820","67.00","0.04"
"1821","74.00","0.05"
"1822","68.00","0.05"
"1823","80.00","0.05"
"1824","78.00","0.05"
"1825","68.90","0.05"
"1826","68.90","0.05"
"1827","68.00","0.05"
"1828","67.00","0.05"
"1829","68.00","0.06"
"1830","67.00","0.06"
"1831","65.00","0.06"
"1832","67.00","0.05"
"1833","68.90","0.06"
"1834","75.70","0.05"
"1835","75.70","0.05"
"1836","78.60","0.05"
"1837","92.20","0.06"
"1838","77.70","0.06"
"1839","81.60","0.06"
"1840","69.90","0.06"
"1841","73.80","0.06"
"1842","75.70","0.06"
"1843","78.60","0.06"
"1844","77.70","0.06"
"1845","75.70","0.06"
"1846","74.80","0.06"
"1847","69.90","0.06"
"1848","83.50","0.07"
"1849","81.60","0.06"
"1850","82.50","0.06"
"1851","81.60","0.06"
"1852","86.40","0.07"
"1853","85.40","0.07"
"1854","90.30","0.07"
"1855","93.20","0.07"
"1856","94.20","0.07"
"1857","99.00","0.07"
"1858","93.20","0.08"
"1859","101.90","0.08"
"1860","100.00","0.08"
"1861","102.00","0.08"
"1862","106.00","0.09"
"1863","121.00","0.10"
"1864","138.00","0.11"
"1865","145.00","0.11"
"1866","145.00","0.11"
"1867","145.00","0.11"
"1868","146.00","0.11"
"1869","146.00","0.11"
"1870","142.00","0.11"
"1871","142.00","0.12"
"1872","143.00","0.12"
"1873","136.00","0.12"
"1874","131.00","0.12"
"1875","125.00","0.12"
"1876","118.00","0.11"
"1877","114.00","0.11"
"1878","111.00","0.11"
"1879","109.00","0.11"
"1880","116.00","0.11"
"1881","120.00","0.11"
"1882","123.00","0.11"
"1883","128.00","0.11"
"1884","130.00","0.12"
"1885","128.00","0.12"
"1886","129.00","0.12"
"1887","132.00","0.13"
"1888","138.00","0.13"
"1889","138.00","0.13"
"1890","138.00","0.13"
"1891","138.00","0.13"
"1892","138.00","0.13"
"1893","138.00","0.14"
"1894","132.00","0.13"
"1895","135.00","0.13"
"1896","133.00","0.13"
"1897","133.00","0.13"
"1898","135.00","0.13"
"1899","137.00","0.13"
"1900","140.00","0.14"
"1901","144.00","0.14"
"1902","148.00","0.15"
"1903","154.00","0.15"
"1904","155.00","0.15"
"1905","157.00","0.16"
"1906","165.00","0.16"
"1907","172.00","0.17"
"1908","164.00","0.16"
"1909","166.00","0.17"
"1910","172.00","0.18"
"1911","168.00","0.18"
"1912","171.00","0.19"
"1913","179.00","0.20"
"1914","180.00","0.20"
"1915","182.00","0.20"
"1916","224.00","0.24"
"1917","279.00","0.29"
"1918","351.00","0.36"
"1919","409.00","0.43"
"1920","469.00","0.54"
"1921","388.00","0.48"
"1922","357.00","0.44"
"1923","393.00","0.48"
"1924","406.00","0.51"
"1925","404.00","0.50"
"1926","409.00","0.51"
"1927","418.00","0.52"
"1928","420.00","0.52"
"1929","431.00","0.52"
"1930","424.00","0.53"
"1931","407.00","0.51"
"1932","355.00","0.45"
"1933","356.00","0.44"
"1934","424.00","0.53"
"1935","439.00","0.54"
"1936","445.00","0.55"
"1937","506.00","0.63"
"1938","520.00","0.64"
"1939","527.00","0.64"
"1940","542.00","0.67"
"1941","604.00","0.74"
"1942","686.00","0.86"
"1943","757.00","0.98"
"1944","791.00","1.05"
"1945","813.00","1.06"
"1946","900.00","1.13"
"1947","1,017.00","1.30"
"1948","1,087.00","1.41"
"1949","1,131.00","1.46"
"1950","1,184.00","1.55"
"1951","1,283.00","1.72"
"1952","1,358.00","1.83"
"1953","1,450.00","1.94"
"1954","1,521.00","1.97"
"1955","1,584.00","2.05"
"1956","1,662.00","2.16"
